hub_id,hour,arrivals
Berlin_Savignyplatz,17.0,17
Berlin_Savignyplatz,18.0,35
Berlin_Savignyplatz,19.0,32
Berlin_Savignyplatz,20.0,12
Berlin_Savignyplatz,21.0,1
Berlin_Savignyplatz,22.0,0
Berlin_Savignyplatz,23.0,0
Berlin_Schöneberg,9.0,0
Berlin_Schöneberg,10.0,0
Berlin_Schöneberg,11.0,0
Berlin_Schöneberg,12.0,2
Berlin_Schöneberg,13.0,3
Berlin_Schöneberg,14.0,6
Berlin_Schöneberg,15.0,9
Berlin_Schöneberg,16.0,29
Berlin_Schöneberg,17.0,54
Berlin_Schöneberg,18.0,52
Berlin_Schöneberg,19.0,44
Berlin_Schöneberg,20.0,23
Berlin_Schöneberg,21.0,3
Berlin_Schöneberg,22.0,0
Berlin_Schöneberg,23.0,0
Berlin_Sophienkirchhof,9.0,0
Berlin_Sophienkirchhof,10.0,0
Berlin_Sophienkirchhof,11.0,0
Berlin_Sophienkirchhof,12.0,1
Berlin_Sophienkirchhof,13.0,0
Berlin_Sophienkirchhof,14.0,1
Berlin_Sophienkirchhof,15.0,5
Berlin_Sophienkirchhof,16.0,9
Berlin_Sophienkirchhof,17.0,14
Berlin_Sophienkirchhof,18.0,36
Berlin_Sophienkirchhof,19.0,24
Berlin_Sophienkirchhof,20.0,16
Berlin_Sophienkirchhof,21.0,2
Berlin_Sophienkirchhof,22.0,0
Berlin_Sophienkirchhof,23.0,0
Berlin_Spichernstr,9.0,0
Berlin_Spichernstr,10.0,0
Berlin_Spichernstr,11.0,0
Berlin_Spichernstr,12.0,2
Berlin_Spichernstr,13.0,4
Berlin_Spichernstr,14.0,2
Berlin_Spichernstr,15.0,8
Berlin_Spichernstr,16.0,12
Berlin_Spichernstr,17.0,34
Berlin_Spichernstr,18.0,57
Berlin_Spichernstr,19.0,34
Berlin_Spichernstr,20.0,14
Berlin_Spichernstr,21.0,5
Berlin_Spichernstr,22.0,1
Berlin_Spichernstr,23.0,0
Berlin_Tempelhof,9.0,0
Berlin_Tempelhof,10.0,0
Berlin_Tempelhof,11.0,0
Berlin_Tempelhof,12.0,0
Berlin_Tempelhof,13.0,0
Berlin_Tempelhof,14.0,0
Berlin_Tempelhof,15.0,2
Berlin_Tempelhof,16.0,0
Berlin_Tempelhof,17.0,4
Berlin_Tempelhof,18.0,5
Berlin_Tempelhof,19.0,4
Berlin_Tempelhof,20.0,0
Berlin_Tempelhof,21.0,0
Berlin_Tempelhof,22.0,0
Berlin_Tempelhof,23.0,0
Berlin_Wolff_Park,9.0,0
Berlin_Wolff_Park,10.0,0
Berlin_Wolff_Park,11.0,0
Berlin_Wolff_Park,12.0,0
Berlin_Wolff_Park,13.0,0
Berlin_Wolff_Park,14.0,1
Berlin_Wolff_Park,15.0,1
Berlin_Wolff_Park,16.0,0
Berlin_Wolff_Park,17.0,4
Berlin_Wolff_Park,18.0,7
Berlin_Wolff_Park,19.0,4
Berlin_Wolff_Park,20.0,3
Berlin_Wolff_Park,21.0,0
Berlin_Wolff_Park,22.0,0
Berlin_Wolff_Park,23.0,0
Berlin_hamburger,9.0,0
Berlin_hamburger,10.0,0
Berlin_hamburger,11.0,0
Berlin_hamburger,12.0,0
Berlin_hamburger,13.0,2
Berlin_hamburger,14.0,1
Berlin_hamburger,15.0,3
Berlin_hamburger,16.0,18
Berlin_hamburger,17.0,29
Berlin_hamburger,18.0,28
Berlin_hamburger,19.0,38
Berlin_hamburger,20.0,21
Berlin_hamburger,21.0,4
Berlin_hamburger,22.0,0
Berlin_hamburger,23.0,0
