hub_id,hour,n_sessions,mu_init,sigma_init,mu_target,sigma_target,source
Berlin_Linden,12,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,13,1,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=1)
Berlin_Linden,14,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,15,1,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=1)
Berlin_Linden,16,2,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=2)
Berlin_Linden,17,3,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=3)
Berlin_Linden,18,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,19,3,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=3)
Berlin_Linden,20,1,0.3785,0.1195,0.9843,0.0364,fallback_hub (n=1)
Berlin_Linden,21,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,22,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,23,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Memhardstr,9,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,10,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,11,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,12,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,13,1,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=1)
Berlin_Memhardstr,14,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,15,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,16,4,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=4)
Berlin_Memhardstr,17,2,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=2)
Berlin_Memhardstr,18,5,0.3205,0.1061,1.0,0.01,empirical
Berlin_Memhardstr,19,2,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=2)
Berlin_Memhardstr,20,3,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=3)
Berlin_Memhardstr,21,2,0.2953,0.1211,0.9792,0.0577,fallback_hub (n=2)
Berlin_Memhardstr,22,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Memhardstr,23,0,0.2953,0.1211,0.9792,0.0577,interpolated
Berlin_Neukölln,9,0,0.2819,0.1312,0.9792,0.0598,interpolated
Berlin_Neukölln,10,0,0.2819,0.1312,0.9792,0.0598,interpolated
Berlin_Neukölln,11,0,0.2819,0.1312,0.9792,0.0598,interpolated
Berlin_Neukölln,12,2,0.2819,0.1312,0.9792,0.0598,fallback_hub (n=2)
Berlin_Neukölln,13,5,0.2946,0.1045,1.0,0.01,empirical
Berlin_Neukölln,14,11,0.2878,0.1143,0.9936,0.0211,empirical
Berlin_Neukölln,15,8,0.3247,0.1321,0.9916,0.0237,empirical
Berlin_Neukölln,16,22,0.262,0.1194,0.9633,0.0703,empirical
Berlin_Neukölln,17,63,0.3158,0.1242,0.9788,0.0499,empirical
Berlin_Neukölln,18,85,0.2872,0.1327,0.9799,0.0704,empirical
